Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C181,C,C_0805_2012Metric,214.424265,-213.509304,180.0,top
C182,C,C_0805_2012Metric,203.974265,-181.209304,90.0,top
C183,C,C_0805_2012Metric,196.674265,-191.759304,0.0,top
C184,C,C_0805_2012Metric,323.959272,-206.21814,180.0,top
C185,C,C_0805_2012Metric,276.214,-185.709,-90.0,top
C186,C,C_0805_2012Metric,313.780182,-200.832686,0.0,top
C187,C,C_0805_2012Metric,311.759272,-196.71814,180.0,top
C188,C,C_0805_2012Metric,318.559272,-215.96814,180.0,top
C189,C,C_0805_2012Metric,315.509272,-181.71814,-90.0,top
C19,C,C_0805_2012Metric,320.947332,-121.868676,0.0,top
C190,C,C_0805_2012Metric,317.509272,-181.66814,90.0,top
C191,C,C_0805_2012Metric,315.884265,-197.134303,90.0,top
C192,C,C_0805_2012Metric,326.934265,-177.584303,0.0,top
C193,C,C_0805_2012Metric,214.424265,-215.509304,0.0,top
C194,C,C_0805_2012Metric,310.209272,-192.21814,0.0,top
C195,C,C_0805_2012Metric,277.714,-181.709,-90.0,top
C196,C,C_0805_2012Metric,319.559272,-194.26814,180.0,top
C197,C,C_0805_2012Metric,311.809272,-198.71814,0.0,top
C198,C,C_0805_2012Metric,303.419272,-189.793139,180.0,top
C199,C,C_0805_2012Metric,312.759272,-207.41814,90.0,top
C2,100nF,C_0805_2012Metric,98.11875,-161.5,90.0,top
C20,C,C_0805_2012Metric,311.447332,-113.868676,0.0,top
C200,C,C_0805_2012Metric,259.434265,-169.084303,0.0,top
C201,C,C_0805_2012Metric,189.884265,-189.334303,180.0,top
C202,C,C_0805_2012Metric,274.464,-181.809,-90.0,top
C203,C,C_0805_2012Metric,314.009272,-185.71814,-90.0,top
C204,C,C_0805_2012Metric,349.877332,-83.403676,90.0,top
C205,C,C_0805_2012Metric,358.597691,-74.13914,90.0,top
C206,470uF,CP_Elec_10x10.5,113.91,-95.25,0.0,top
C207,470uF,CP_Elec_10x10.5,129.005,-95.25,0.0,top
C208,470uF,CP_Elec_10x10.5,130.81,-126.755,90.0,top
C209,470uF,CP_Elec_10x10.5,65.3,-184.5,180.0,top
C21,C,C_0805_2012Metric,179.347332,-105.368676,180.0,top
C210,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.3575,-116.84,0.0,top
C211,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.7725,-116.205,0.0,top
C212,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.52806,-116.60019,180.0,top
C213,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.6925,-116.205,180.0,top
C22,C,C_0805_2012Metric,187.64,-101.6,180.0,top
C23,C,C_0805_2012Metric,179.447332,-111.368676,180.0,top
C24,C,C_0805_2012Metric,225.847332,-102.368676,180.0,top
C25,C,C_0805_2012Metric,217.447332,-104.868676,180.0,top
C26,C,C_0805_2012Metric,216.847332,-110.868676,180.0,top
C27,C,C_0805_2012Metric,255.347332,-105.368676,180.0,top
C28,C,C_0805_2012Metric,262.947332,-101.868676,180.0,top
C29,C,C_0805_2012Metric,255.347332,-111.368676,180.0,top
C3,0.1uf,C_0805_2012Metric,115.745,-69.85,0.0,top
C30,C,C_0805_2012Metric,292.347332,-105.368676,180.0,top
C31,C,C_0805_2012Metric,298.397332,-101.918676,-90.0,top
C32,C,C_0805_2012Metric,292.347332,-111.368676,180.0,top
C33,C,C_0805_2012Metric,312.855,-129.777,180.0,top
C34,C,C_0805_2012Metric,320.855,-127.277,180.0,top
C35,C,C_0805_2012Metric,312.855,-135.777,180.0,top
C36,C,C_0805_2012Metric,335.434265,-175.084303,0.0,top
C37,C,C_0805_2012Metric,216.384265,-178.534303,90.0,top
C38,C,C_0805_2012Metric,275.98542,-200.709,0.0,top
C39,C,C_0805_2012Metric,199.224265,-206.959304,90.0,top
C4,1uF,C_0805_2012Metric,125.9,-69.85,180.0,top
C40,C,C_0805_2012Metric,198.274265,-198.259304,0.0,top
C41,C,C_0805_2012Metric,236.47475,-181.35505,-90.0,top
C42,C,C_0805_2012Metric,265.624,-189.783999,180.0,top
C43,C,C_0805_2012Metric,335.334265,-169.084303,0.0,top
C44,C,C_0805_2012Metric,234.42475,-191.75505,0.0,top
C45,C,C_0805_2012Metric,236.97475,-206.95505,90.0,top
C46,C,C_0805_2012Metric,222.434265,-169.084303,0.0,top
C47,C,C_0805_2012Metric,227.63475,-189.330049,180.0,top
C48,C,C_0805_2012Metric,235.97475,-196.25505,180.0,top
C49,C,C_0805_2012Metric,252.17475,-215.50505,0.0,top
C5,100nF,C_0805_2012Metric,115.745,-72.39,0.0,top
C50,C,C_0805_2012Metric,272.414,-192.209,0.0,top
C51,C,C_0805_2012Metric,239.72475,-181.25505,-90.0,top
C52,C,C_0805_2012Metric,310.759272,-207.41814,-90.0,top
C53,C,C_0805_2012Metric,312.342135,-83.61811,-90.0,top
C54,C,C_0805_2012Metric,304.357332,-74.693675,0.0,top
C55,C,C_0805_2012Metric,324.897332,-91.118676,0.0,top
C56,C,C_0805_2012Metric,316.057332,-99.093675,90.0,top
C57,C,C_0805_2012Metric,300.357332,-64.943675,180.0,top
C58,C,C_0805_2012Metric,309.757332,-64.943675,0.0,top
C59,C,C_0805_2012Metric,300.357332,-66.943675,0.0,top
C6,100nF,C_0805_2012Metric,125.9,-72.39,180.0,top
C60,C,C_0805_2012Metric,317.557332,-73.493675,90.0,top
C61,C,C_0805_2012Metric,314.472482,-80.154567,180.0,top
C62,C,C_0805_2012Metric,315.557332,-73.493675,-90.0,top
C63,C,C_0805_2012Metric,308.757332,-86.643675,0.0,top
C64,C,C_0805_2012Metric,310.807332,-99.243675,-90.0,top
C65,C,C_0805_2012Metric,313.607332,-91.943675,0.0,top
C66,C,C_0805_2012Metric,312.807332,-99.193675,90.0,top
C67,C,C_0805_2012Metric,316.507332,-82.193675,180.0,top
C68,C,C_0805_2012Metric,318.107332,-88.693675,180.0,top
C69,C,C_0805_2012Metric,316.557332,-84.193675,0.0,top
C7,470uF,CP_Elec_10x10.5,100.3,-184.5,180.0,top
C70,C,C_0805_2012Metric,314.307332,-95.193675,90.0,top
C71,C,C_0805_2012Metric,280.356847,-88.697929,180.0,top
C72,C,C_0805_2012Metric,277.806847,-73.497929,-90.0,top
C73,C,C_0805_2012Metric,274.594866,-83.637114,-90.0,top
C74,C,C_0805_2012Metric,262.606847,-66.947929,0.0,top
C75,C,C_0805_2012Metric,273.056847,-99.247929,-90.0,top
C76,C,C_0805_2012Metric,287.146847,-91.12293,0.0,top
C77,C,C_0805_2012Metric,266.606847,-74.697929,0.0,top
C78,C,C_0805_2012Metric,278.756847,-82.197929,180.0,top
C79,C,C_0805_2012Metric,275.856847,-91.947929,0.0,top
C8,470uF,CP_Elec_10x10.5,111.76,-127.39,-90.0,top
C80,C,C_0805_2012Metric,278.806847,-84.197929,0.0,top
C81,C,C_0805_2012Metric,271.006847,-86.647929,0.0,top
C82,C,C_0805_2012Metric,262.606847,-64.947929,180.0,top
C83,C,C_0805_2012Metric,276.723089,-80.165079,180.0,top
C84,C,C_0805_2012Metric,275.056847,-99.197929,90.0,top
C85,C,C_0805_2012Metric,279.806847,-73.497929,90.0,top
C86,C,C_0805_2012Metric,272.006847,-64.947929,0.0,top
C87,C,C_0805_2012Metric,278.306847,-99.097929,90.0,top
C88,C,C_0805_2012Metric,276.556847,-95.197929,90.0,top
C89,C,C_0805_2012Metric,242.367597,-88.243979,180.0,top
